Elapsed Time,Plants Total,Plants Alive,Plants Alive Percent,Plants Avg Age Percent,Plants Mature,Plants Mature Percent,Plants Avg Mutations,Plants Pos Thrive,Plants Pos Thrive Percent,Plants Avg Thrive,Plants Carrying,Plants Carrying Percent,Plants Self-Pollinated,Plants Self-Pollinated Percent,Plants Repro on CD, Plants Repro on CD Percent
0:00:01,1029,1025,0.9961127,0.05468478,1019,0.9941463,0.06341463,519,0.5063415,0.004755543,509,0.4965854,12,0.02357564,8,0.007804878
0:00:02,1029,1025,0.9961127,0.06157134,1019,0.9941463,0.1190244,518,0.5053658,0.004697415,509,0.4965854,12,0.02357564,8,0.007804878
0:00:03,1029,1023,0.9941691,0.06839088,1017,0.9941349,0.1661779,518,0.5063539,0.00668793,509,0.4975562,12,0.02357564,8,0.007820137
0:00:04,1028,1020,0.9922179,0.07514204,1014,0.9941176,0.2156863,517,0.5068628,0.007794807,508,0.4980392,12,0.02362205,8,0.007843138
0:00:05,1029,1007,0.97862,0.08087972,1000,0.9930487,0.2601787,518,0.5143992,0.0142988,501,0.4975174,12,0.0239521,8,0.007944389
0:00:06,1028,1001,0.9737354,0.08753345,994,0.993007,0.3076923,518,0.5174825,0.01672783,496,0.4955045,12,0.02419355,8,0.007992008
0:00:07,1028,997,0.9698443,0.09427237,990,0.9929789,0.3480441,518,0.5195587,0.01835668,495,0.4964895,12,0.02424242,8,0.008024072
0:00:08,1029,995,0.9669582,0.1009051,987,0.9919598,0.4030151,517,0.519598,0.01971889,491,0.4934673,12,0.02443992,9,0.009045226
0:00:09,1029,989,0.9611273,0.1076194,981,0.991911,0.4560162,518,0.5237614,0.02160055,489,0.4944388,12,0.02453988,9,0.009100101
0:00:10,1030,983,0.9543689,0.1143475,974,0.9908444,0.5127162,517,0.525941,0.02342909,485,0.4933876,12,0.02474227,10,0.01017294
0:00:11,1029,981,0.9533527,0.1210342,973,0.9918451,0.5626912,517,0.5270132,0.02398034,486,0.4954129,12,0.02469136,10,0.01019368
0:00:12,1032,980,0.9496124,0.1276911,969,0.9887755,0.6,517,0.527551,0.02490383,482,0.4918367,12,0.02489627,13,0.01326531
0:00:13,1032,977,0.9467054,0.1334606,966,0.988741,0.6468782,517,0.5291709,0.02555756,480,0.4912999,12,0.025,13,0.01330604
0:00:14,1031,975,0.9456838,0.1400558,964,0.988718,0.6902564,517,0.5302564,0.02599068,479,0.491282,12,0.02505219,13,0.01333333
0:00:15,1031,968,0.9388943,0.1468784,957,0.9886364,0.7448347,516,0.5330579,0.02728423,473,0.4886364,12,0.02536998,13,0.01342975
0:00:16,1032,962,0.9321706,0.1536446,950,0.987526,0.7889813,516,0.5363826,0.02812904,466,0.4844075,12,0.02575107,15,0.01559252
0:00:17,1032,954,0.9244186,0.15935,942,0.9874214,0.8375262,516,0.5408805,0.02959646,463,0.4853249,11,0.0237581,15,0.01572327
0:00:18,1033,953,0.9225557,0.1660022,940,0.9863589,0.8782791,518,0.5435467,0.03008449,461,0.4837356,10,0.02169197,16,0.01678909
0:00:19,1035,952,0.9198068,0.1727701,936,0.9831933,0.914916,521,0.5472689,0.03091042,456,0.4789916,10,0.02192982,18,0.01890756
0:00:20,1031,946,0.9175557,0.17944,929,0.9820296,0.9630021,522,0.551797,0.0320062,451,0.4767442,9,0.01995565,18,0.01902748
0:00:21,1032,940,0.9108527,0.185199,922,0.9808511,1.021277,522,0.5553191,0.03304346,445,0.4734043,9,0.02022472,20,0.0212766
0:00:22,1032,935,0.9060078,0.1916799,916,0.9796792,1.055615,522,0.5582888,0.03418191,440,0.4705882,8,0.01818182,23,0.02459893
0:00:23,1033,938,0.9080349,0.1981174,916,0.9765459,1.099147,522,0.5565032,0.03412418,436,0.4648188,8,0.01834862,27,0.02878465
0:00:24,1038,939,0.9046243,0.2045712,911,0.970181,1.15229,527,0.5612354,0.03477667,427,0.4547391,8,0.01873536,33,0.03514377
0:00:25,1035,936,0.9043478,0.210291,907,0.9690171,1.207265,529,0.5651709,0.03532956,424,0.4529915,8,0.01886792,36,0.03846154
0:00:26,1036,942,0.9092664,0.216675,904,0.9596603,1.238853,531,0.5636942,0.03522394,412,0.4373673,8,0.01941748,47,0.04989384
0:00:27,1040,950,0.9134616,0.2226593,903,0.9505263,1.261053,538,0.5663158,0.03617086,402,0.4231579,7,0.01741293,56,0.05894737
0:00:28,1068,977,0.914794,0.2277498,897,0.9181167,1.269191,556,0.5690891,0.03584205,362,0.370522,7,0.01933702,92,0.09416582
0:00:29,1159,1062,0.9163072,0.2308249,893,0.8408663,1.202448,603,0.5677966,0.03644388,258,0.2429378,7,0.02713178,188,0.1770245
0:00:30,1258,1157,0.9197139,0.2338994,885,0.7649093,1.13656,662,0.5721694,0.03447007,137,0.1184097,4,0.02919708,301,0.2601556
0:00:31,1297,1198,0.92367,0.2381767,880,0.7345576,1.146077,688,0.5742905,0.03355946,83,0.06928214,3,0.03614458,351,0.2929883
0:00:32,1321,1222,0.9250568,0.2436106,878,0.7184943,1.162848,701,0.5736498,0.034298,56,0.04582651,2,0.03571429,376,0.3076923
0:00:33,1334,1236,0.9265367,0.24936,876,0.7087379,1.191748,708,0.5728155,0.03376616,40,0.03236246,2,0.05,389,0.3147249
0:00:34,1336,1233,0.9229042,0.2551639,871,0.7064071,1.22871,709,0.5750203,0.03431012,35,0.02838605,2,0.05714286,388,0.3146797
0:00:35,1339,1235,0.9223301,0.2612848,867,0.7020243,1.260729,714,0.5781376,0.03553916,24,0.0194332,1,0.04166667,396,0.3206478
0:00:36,1338,1230,0.9192825,0.267528,863,0.701626,1.312195,717,0.5829268,0.03782661,22,0.01788618,1,0.04545455,396,0.3219512
0:00:37,1332,1227,0.9211712,0.273838,861,0.7017115,1.365118,715,0.5827221,0.03792305,21,0.01711491,1,0.04761905,395,0.3219234
0:00:38,1329,1219,0.917231,0.2800256,854,0.7005742,1.414274,713,0.5849057,0.03926297,22,0.01804758,1,0.04545455,390,0.3199344
0:00:39,1324,1217,0.9191843,0.2861497,852,0.7000822,1.457683,714,0.5866886,0.0394113,20,0.01643385,0,0,391,0.3212819
0:00:41,1317,1213,0.9210327,0.29244,849,0.6999176,1.514427,713,0.5877988,0.0398053,21,0.01731245,0,0,389,0.3206925
0:00:42,1313,1210,0.9215537,0.2986777,844,0.6975207,1.54876,715,0.5909091,0.04017251,17,0.01404959,0,0,388,0.3206612
0:00:43,1312,1206,0.9192073,0.3048053,843,0.6990049,1.592869,719,0.5961857,0.0410585,16,0.013267,0,0,388,0.3217247
0:00:44,1309,1200,0.9167303,0.3109348,838,0.6983333,1.6375,719,0.5991667,0.04186902,17,0.01416667,0,0,384,0.32
0:00:45,1305,1195,0.9157088,0.3171707,832,0.6962343,1.687866,720,0.6025105,0.0423641,18,0.01506276,1,0.05555556,382,0.3196653
0:00:46,1303,1192,0.914812,0.3230809,830,0.6963087,1.735738,719,0.6031879,0.04216885,17,0.01426174,1,0.05882353,379,0.317953
0:00:47,1299,1187,0.9137799,0.3292738,827,0.6967144,1.775063,720,0.6065712,0.04273713,17,0.01432182,1,0.05882353,375,0.3159225
0:00:48,1298,1181,0.9098613,0.3355555,820,0.6943268,1.828959,721,0.6104996,0.04334821,15,0.0127011,1,0.06666667,373,0.315834
0:00:49,1293,1172,0.9064192,0.3412595,813,0.693686,1.887372,721,0.6151877,0.04443912,15,0.01279863,1,0.06666667,367,0.3131399
0:00:50,1285,1169,0.9097276,0.3473184,814,0.6963217,1.934987,720,0.615911,0.04420063,15,0.01283148,1,0.06666667,362,0.3096664
0:00:51,1279,1166,0.9116497,0.3536832,814,0.6981132,1.989708,722,0.619211,0.04525678,18,0.01543739,1,0.05555556,356,0.3053173
0:00:52,1276,1162,0.9106583,0.3598355,818,0.7039587,2.041308,722,0.6213425,0.04584068,24,0.02065405,2,0.08333334,352,0.302926
0:00:53,1272,1163,0.9143082,0.365592,822,0.7067928,2.074806,724,0.622528,0.04589324,26,0.02235598,3,0.1153846,351,0.3018057
0:00:54,1268,1158,0.9132492,0.3716894,823,0.7107081,2.11658,724,0.6252159,0.04610796,28,0.02417962,3,0.1071429,343,0.2962003
0:00:55,1264,1155,0.9137658,0.3773708,828,0.7168831,2.165368,724,0.6268398,0.04635795,32,0.02770563,3,0.09375,336,0.2909091
0:00:56,1263,1149,0.9097387,0.3831378,830,0.7223673,2.208877,724,0.6301131,0.04694536,37,0.03220192,3,0.08108108,329,0.2863359
0:00:57,1256,1144,0.9108281,0.3894929,840,0.7342657,2.255245,722,0.6311189,0.04721896,48,0.04195804,3,0.0625,310,0.270979
0:00:58,1252,1140,0.9105431,0.3956614,858,0.7526316,2.299123,721,0.6324561,0.04731075,71,0.0622807,5,0.07042254,290,0.254386
0:00:59,1251,1137,0.9088729,0.4013114,891,0.7836412,2.342129,718,0.6314864,0.04697812,92,0.08091469,6,0.06521739,262,0.230431
0:01:00,1245,1130,0.9076305,0.4069365,939,0.8309734,2.39469,721,0.6380531,0.04767382,135,0.119469,8,0.05925926,207,0.1831858
0:01:01,1243,1130,0.9090909,0.4126986,990,0.8761062,2.450443,722,0.6389381,0.04827946,191,0.1690266,9,0.04712042,159,0.140708
0:01:02,1241,1124,0.9057212,0.4189541,1015,0.9030249,2.498221,719,0.6396797,0.04813064,223,0.1983986,9,0.04035874,113,0.1005338
0:01:03,1238,1120,0.904685,0.4250598,1040,0.9285714,2.542857,720,0.6428571,0.04857732,256,0.2285714,10,0.0390625,85,0.07589286
0:01:04,1230,1120,0.9105691,0.4313843,1058,0.9446428,2.5875,721,0.64375,0.0481956,275,0.2455357,11,0.04,71,0.06339286
0:01:05,1219,1118,0.9171452,0.4376794,1069,0.9561718,2.642218,719,0.6431127,0.04816462,290,0.2593918,12,0.04137931,60,0.05366726
0:01:06,1212,1114,0.9191419,0.443815,1070,0.9605027,2.679533,719,0.6454219,0.04832484,300,0.2692998,12,0.04,50,0.0448833
0:01:07,1205,1108,0.9195021,0.4494648,1069,0.9648014,2.715704,717,0.6471119,0.04852656,305,0.2752708,12,0.03934426,44,0.03971119
0:01:08,1202,1099,0.9143095,0.4550203,1064,0.9681529,2.762511,716,0.6515014,0.04886116,312,0.2838944,12,0.03846154,42,0.03821656
0:01:09,1203,1099,0.9135495,0.460987,1068,0.9717925,2.808917,718,0.6533212,0.04899046,312,0.2838944,12,0.03846154,43,0.03912648
0:01:10,1198,1099,0.9173623,0.4668682,1068,0.9717925,2.849864,717,0.6524113,0.04892102,312,0.2838944,12,0.03846154,39,0.03548681
0:01:11,1193,1096,0.9186924,0.4724684,1066,0.9726278,2.899635,716,0.6532847,0.04900708,316,0.2883212,12,0.03797468,35,0.03193431
0:01:12,1191,1093,0.9177162,0.4786007,1066,0.9752973,2.94419,717,0.6559927,0.0494299,319,0.2918573,11,0.03448276,31,0.02836231
0:01:13,1183,1087,0.9188504,0.4845157,1061,0.976081,2.985281,716,0.6586937,0.0498868,325,0.298988,12,0.03692308,28,0.02575897
0:01:14,1181,1084,0.9178662,0.4906066,1059,0.9769373,3.035978,717,0.6614391,0.0505379,326,0.300738,12,0.03680982,28,0.02583026
0:01:15,1178,1081,0.917657,0.4964649,1058,0.9787234,3.075856,718,0.6641998,0.05082239,327,0.3024977,12,0.03669725,28,0.02590194
0:01:16,1179,1078,0.9143342,0.502624,1054,0.9777365,3.109462,719,0.6669759,0.05114414,325,0.3014842,10,0.03076923,29,0.02690167
0:01:17,1178,1077,0.9142615,0.5086323,1053,0.9777158,3.158774,720,0.6685237,0.051331,326,0.3026927,10,0.03067485,30,0.02785515
0:01:18,1171,1075,0.9180188,0.5146927,1052,0.9786047,3.210232,721,0.6706977,0.05153989,326,0.3032558,10,0.03067485,31,0.02883721
0:01:19,1166,1073,0.9202402,0.520718,1050,0.9785648,3.260019,722,0.6728798,0.05181358,331,0.3084809,10,0.03021148,29,0.02702703
0:01:20,1161,1073,0.9242033,0.5264058,1048,0.9767008,3.302889,724,0.6747437,0.05196895,328,0.305685,10,0.03048781,32,0.02982293
0:01:21,1158,1072,0.925734,0.5322237,1045,0.9748135,3.35541,724,0.6753731,0.05208013,327,0.3050373,10,0.03058104,33,0.03078358
0:01:22,1160,1074,0.9258621,0.5374555,1044,0.9720671,3.387337,729,0.678771,0.05231763,326,0.3035382,10,0.03067485,36,0.03351955
0:01:23,1162,1077,0.9268503,0.5428277,1042,0.9675023,3.424327,734,0.6815227,0.0527858,321,0.2980501,10,0.03115265,41,0.03806871
0:01:24,1167,1082,0.9271637,0.5476499,1040,0.961183,3.444547,740,0.6839187,0.05313345,315,0.2911275,9,0.02857143,49,0.04528651
0:01:25,1169,1086,0.9289991,0.5528391,1039,0.9567219,3.480663,742,0.6832412,0.05263374,309,0.2845304,8,0.02588997,56,0.05156538
0:01:26,1174,1090,0.9284497,0.5571694,1035,0.9495413,3.504587,750,0.6880734,0.05316502,299,0.2743119,8,0.02675585,67,0.06146789
0:01:27,1185,1103,0.9308017,0.5601583,1033,0.9365367,3.50952,759,0.6881233,0.0531023,285,0.2583862,8,0.02807018,81,0.07343608
0:01:28,1194,1113,0.9321608,0.5640734,1032,0.9272237,3.510332,765,0.6873316,0.05293389,270,0.2425876,8,0.02962963,97,0.08715184
0:01:29,1218,1140,0.9359606,0.5654879,1032,0.9052632,3.473684,783,0.6868421,0.05278131,243,0.2131579,8,0.03292181,125,0.1096491
0:01:30,1238,1158,0.9353796,0.5666625,1031,0.8903282,3.444732,797,0.6882556,0.0535356,225,0.1943005,7,0.03111111,145,0.1252159
0:01:31,1272,1193,0.9378931,0.5667232,1033,0.8658843,3.374686,821,0.688181,0.05214481,184,0.154233,5,0.02717391,188,0.1575859
0:01:32,1296,1217,0.9390432,0.5685331,1030,0.8463435,3.341002,837,0.6877568,0.05100627,158,0.1298274,4,0.02531646,216,0.1774856
0:01:33,1317,1240,0.9415338,0.5706424,1028,0.8290322,3.328226,858,0.6919355,0.05186868,133,0.1072581,4,0.03007519,240,0.1935484
0:01:34,1322,1248,0.9440242,0.5749715,1027,0.8229167,3.346154,863,0.6915064,0.05227531,120,0.09615385,4,0.03333334,253,0.2027244
0:01:35,1329,1255,0.944319,0.5796387,1026,0.8175299,3.373705,870,0.6932271,0.05320793,113,0.09003984,2,0.01769911,264,0.2103586
0:01:36,1334,1262,0.946027,0.5833767,1022,0.8098257,3.394612,873,0.6917591,0.0525412,100,0.0792393,2,0.02,276,0.2187005
0:01:37,1340,1268,0.9462687,0.587441,1019,0.8036278,3.410883,882,0.6955836,0.05259954,89,0.07018927,2,0.02247191,288,0.2271293
0:01:38,1344,1266,0.9419643,0.5913686,1013,0.800158,3.441548,878,0.6935229,0.05224958,83,0.06556083,2,0.02409638,291,0.2298578
0:01:39,1347,1265,0.939124,0.5960699,1009,0.7976285,3.484585,881,0.6964427,0.05288484,78,0.06166008,2,0.02564103,295,0.2332016
0:01:40,1348,1265,0.9384273,0.6006457,1006,0.7952569,3.514625,880,0.6956522,0.05350965,74,0.05849802,2,0.02702703,298,0.2355731
0:01:41,1348,1266,0.9391692,0.6053309,1004,0.793049,3.543444,882,0.6966825,0.05356371,71,0.05608215,1,0.01408451,302,0.2385466
0:01:42,1347,1264,0.9383816,0.6103556,1003,0.7935126,3.575949,885,0.7001582,0.05447601,69,0.05458861,1,0.01449275,306,0.2420886
0:01:43,1348,1263,0.9369436,0.6145986,998,0.7901821,3.612827,885,0.7007126,0.05418817,65,0.05146477,1,0.01538462,311,0.2462391
0:01:44,1351,1265,0.9363434,0.6197963,998,0.7889328,3.657707,885,0.6996047,0.05335208,63,0.04980237,2,0.03174603,314,0.2482213
0:01:45,1350,1263,0.9355556,0.6246442,998,0.7901821,3.692795,887,0.7022961,0.05359815,61,0.0482977,2,0.03278688,316,0.2501979
0:01:46,1347,1261,0.9361544,0.6294742,996,0.7898493,3.733545,885,0.7018239,0.05364974,62,0.04916733,3,0.0483871,315,0.2498017
0:01:47,1346,1258,0.9346211,0.6348578,996,0.7917329,3.775835,885,0.7034976,0.05401513,66,0.05246423,3,0.04545455,315,0.2503974
0:01:48,1346,1257,0.9338782,0.6402457,994,0.7907717,3.812251,884,0.7032617,0.05392577,67,0.05330151,3,0.04477612,315,0.2505967
0:01:49,1346,1253,0.9309064,0.6450874,988,0.7885076,3.844373,884,0.7055068,0.05424847,69,0.05506784,3,0.04347826,311,0.2482043
0:01:50,1345,1250,0.929368,0.6502279,985,0.788,3.884,883,0.7064,0.05440448,69,0.0552,3,0.04347826,311,0.2488
0:01:51,1342,1250,0.9314456,0.6557121,987,0.7896,3.9336,882,0.7056,0.05407855,73,0.0584,3,0.04109589,309,0.2472
0:01:52,1339,1248,0.9320388,0.6607121,985,0.7892628,3.98157,880,0.7051282,0.0540713,79,0.06330128,2,0.02531646,303,0.2427885
0:01:53,1340,1243,0.9276119,0.6650375,987,0.7940466,4.023331,880,0.7079646,0.05413211,87,0.06999195,2,0.02298851,296,0.2381335
0:01:54,1339,1242,0.9275579,0.6700456,990,0.7971014,4.053945,881,0.7093398,0.05427156,92,0.07407407,2,0.02173913,294,0.236715
0:01:55,1333,1240,0.9302326,0.6755643,995,0.8024194,4.106452,882,0.7112903,0.05454083,105,0.08467742,2,0.01904762,283,0.2282258
0:01:56,1336,1238,0.9266467,0.6804723,1003,0.8101777,4.132472,884,0.7140549,0.0547632,117,0.09450727,2,0.01709402,273,0.220517
0:01:57,1334,1233,0.9242879,0.6851381,1008,0.8175182,4.177616,882,0.7153285,0.05550601,132,0.107056,2,0.01515152,259,0.2100568
0:01:58,1334,1232,0.9235382,0.690489,1022,0.8295454,4.218344,881,0.7150974,0.0553757,150,0.1217532,3,0.02,245,0.1988636
0:01:59,1331,1229,0.9233659,0.6953583,1040,0.8462164,4.262002,878,0.714402,0.05531918,173,0.1407648,6,0.03468208,223,0.1814483
0:02:00,1330,1227,0.9225564,0.6997328,1048,0.8541157,4.297473,879,0.7163814,0.05548874,201,0.1638142,7,0.03482587,201,0.1638142
0:02:01,1330,1228,0.9233083,0.7041463,1071,0.8721498,4.326547,879,0.715798,0.05568092,229,0.1864821,7,0.03056769,179,0.1457655
0:02:02,1331,1228,0.9226146,0.7081621,1091,0.8884365,4.344462,881,0.7174267,0.05568705,253,0.2060261,9,0.03557312,157,0.1278502
0:02:03,1333,1227,0.9204801,0.7131141,1101,0.8973105,4.387123,885,0.7212714,0.05620853,277,0.2257539,8,0.02888087,138,0.1124694
0:02:04,1330,1224,0.9203007,0.7184853,1116,0.9117647,4.446078,886,0.7238562,0.05663083,299,0.244281,9,0.03010033,124,0.1013072
0:02:05,1328,1224,0.9216868,0.7222698,1121,0.9158497,4.464052,887,0.7246732,0.0564837,313,0.2557189,10,0.03194888,119,0.09722222
0:02:06,1325,1221,0.9215094,0.7271571,1126,0.9221949,4.517609,886,0.7256348,0.05669232,329,0.2694513,11,0.03343465,108,0.08845209
0:02:07,1323,1219,0.9213908,0.7323801,1130,0.9269893,4.557834,885,0.7260049,0.05651721,341,0.2797375,11,0.03225806,98,0.08039377
0:02:08,1322,1219,0.9220877,0.736769,1132,0.9286301,4.589007,885,0.7260049,0.0564367,352,0.2887613,10,0.02840909,93,0.07629205
0:02:09,1320,1212,0.9181818,0.7414423,1133,0.9348185,4.628713,882,0.7277228,0.05684235,361,0.2978548,10,0.02770083,87,0.07178218
0:02:10,1314,1206,0.9178082,0.7459895,1131,0.937811,4.670813,878,0.7280265,0.05609436,371,0.3076285,10,0.02695418,81,0.06716418
0:02:11,1312,1203,0.9169207,0.7504646,1130,0.9393184,4.715711,877,0.7290108,0.05614258,380,0.315877,11,0.02894737,76,0.0631754
0:02:12,1311,1202,0.9168574,0.7549403,1132,0.9417637,4.74792,878,0.7304493,0.05605133,385,0.3202995,11,0.02857143,74,0.06156406
0:02:13,1310,1196,0.9129771,0.7585406,1128,0.9431438,4.778428,872,0.729097,0.05576589,386,0.3227425,11,0.02849741,71,0.05936455
0:02:14,1309,1193,0.9113827,0.7631176,1127,0.9446773,4.823135,871,0.7300922,0.05575338,389,0.3260687,11,0.02827764,69,0.05783739
0:02:15,1306,1190,0.9111792,0.7676511,1126,0.9462185,4.857983,872,0.7327731,0.05601579,391,0.3285714,11,0.02813299,69,0.05798319
0:02:16,1300,1181,0.9084615,0.7703846,1117,0.9458086,4.887383,862,0.7298899,0.05533623,389,0.3293819,11,0.02827764,67,0.05673158
0:02:17,1297,1174,0.9051658,0.7735897,1109,0.9446337,4.910562,857,0.729983,0.05543191,387,0.3296422,11,0.02842377,68,0.05792164
0:02:18,1289,1172,0.909232,0.7779139,1110,0.947099,4.959898,853,0.7278157,0.05519445,386,0.3293515,11,0.02849741,69,0.05887372
0:02:19,1291,1169,0.9054996,0.7803525,1103,0.9435415,4.970915,851,0.7279726,0.05500721,382,0.326775,11,0.02879581,71,0.06073567
0:02:20,1292,1162,0.8993808,0.7828985,1093,0.9406196,4.987091,849,0.7306368,0.05541123,374,0.3218589,11,0.02941176,74,0.0636833
0:02:21,1291,1154,0.8938807,0.7852864,1082,0.9376083,5.005199,842,0.7296361,0.05567596,369,0.3197574,11,0.0298103,79,0.06845754
0:02:22,1300,1155,0.8884615,0.784776,1068,0.9246753,4.965368,842,0.7290043,0.05493176,348,0.3012987,11,0.0316092,95,0.08225108
